#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-11T14:57:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ613cc36442099 
#INFO -out.max=1000 
#INFO queryParameters=18 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/608/A63&tab:{J/A+A/608/A63/table9}&key:source=J/A+A/608/A63&HTTPPRM:&
#-source=J/A+A/608/A63/table9
#-order=I
#-out=BJD
#-out=RVT
#-out=e_RVT
#-out=RVY
#-out=e_RVY
#-out=drift
#-out=e_drift
#-out=SNR
#-out=S
#-out=e_S
#-out=Halpha
#-out=e_Halpha
#-out=Notes
#
#
#RESOURCE=yCat_36080063
#Name: J/A+A/608/A63
#Title: HADES VI. GJ 3942b activity with HARPS-N (Perger+, 2017)
#Table J_A_A_608_A63_table9:
#Name: J/A+A/608/A63/table9
#Title: Data of 145 observations of GJ 3942
#---Details of Columns:
#    BJD (d)         (F9.4)  Barycentric Julian date (BJD-2456000) [ucd=time.epoch]
#    RVT (m/s)       (F7.3)  ? Relative radial velocity from TERRA pipeline (second fiber drifts already included) [ucd=phys.veloc;pos.heliocentric]
#    e_RVT (m/s)     (F6.3)  ? Radial velocity error from TERRA [ucd=stat.error]
#    RVY (m/s)       (F10.3) Radial velocity from DRS pipeline [ucd=phys.veloc;pos.heliocentric]
#    e_RVY (m/s)     (F6.3)  Radial velocity error from DRS [ucd=stat.error]
#    drift (m/s)     (F6.3)  Instrumental RV drift of the observation [ucd=arith.rate]
#    e_drift (m/s)   (F6.3)  Instrumental RV drift error [ucd=stat.error]
#    SNR             (F4.1)  signal-to-noise-ratio of order 46 [ucd=stat.snr]
#    S               (F6.3)  S index from CaII H and K lines [ucd=meta.code;spect.index]
#    e_S             (F6.3)  S index error [ucd=stat.error]
#    Halpha (10-2)   (F6.3)  Halpha index [ucd=spect.index;em.line.Halpha]
#    e_Halpha (10-2) (F6.3)  Halpha index error [ucd=stat.error]
#    Notes           (A3)    Notes (1) [ucd=meta.note]
#--------- ------- ------ ---------- ------ ------ ------ ---- ------ ------ ------ ------ ---
#                                                  e                         H      e_H       
#          RV      e_RVT             e_RVY  drift  _drift                    alpha  alpha  No 
#BJD (d)   T (m/s) (m/s)  RVY (m/s)  (m/s)  (m/s)  (m/s)  SNR  S      e_S    (10-2) (10-2) tes
#--------- ------- ------ ---------- ------ ------ ------ ---- ------ ------ ------ ------ ---
BJD RVT e_RVT RVY e_RVY drift e_drift SNR S e_S Halpha e_Halpha Notes
 728.7639   0.579  1.272 -18707.511  1.851  0.409  0.466 57.0  1.694  0.029  6.067  0.101 2
 751.6805  -3.484  1.078 -18712.455  1.719  0.199  0.466 59.8  1.951  0.032  6.532  0.104 2
 761.7075  14.241  1.443 -18694.483  2.134 -0.163  0.466 49.1  1.788  0.025  6.376  0.106 2
 775.6407   3.451  1.295 -18705.059  2.514  0.279  0.466 40.7  1.725  0.018  6.163  0.104 2
 783.4505   0.549  0.969 -18706.507  1.385  0.762  0.466 74.6  2.043  0.044  6.659  0.103 2
 784.4391  -8.868  0.831 -18714.251  1.456 -0.812  0.466 70.5  1.877  0.041  6.447  0.105 2
 785.4442 -12.351  1.365 -18718.362  2.324 -0.479  0.466 44.2  1.740  0.020  6.356  0.108 2
 787.5590  -6.514  0.996 -18709.164  2.428 -0.030  0.466 42.5  1.820  0.020  6.429  0.103 2
 792.5216  -4.871  1.207 -18710.124  1.983 -0.987  0.466 52.1  1.722  0.026  6.107  0.103 2
 798.4424   5.681  1.013 -18701.285  1.338 -0.823  0.466 76.7  2.005  0.050  6.603  0.103 2
 799.4656   3.747  0.875 -18702.909  1.396  0.000  1.025 75.0  1.870  0.049  6.448  0.103 3
 800.4462  -1.510  0.983 -18711.883  1.677  1.675  0.466 60.5  1.909  0.033  6.447  0.101 2
 817.5506  -1.367  0.805 -18706.933  1.343 -0.591  0.466 75.6  1.847  0.050  6.307  0.101 2
 818.5510  -3.388  0.854 -18709.206  1.430  0.808  0.466 71.5  1.771  0.045  6.257  0.102 2
 819.5843  -8.134  1.030 -18713.588  1.809  0.359  0.466 57.0  1.876  0.030  6.498  0.103 2
 820.6290  -2.488  1.150 -18708.022  2.185  0.042  0.466 46.7  1.720  0.021  6.354  0.106 2
 821.6261   0.401  1.146 -18699.728  2.455  0.304  0.466 42.0  1.645  0.020  6.288  0.105 2
 854.4557  -5.136  0.935 -18708.773  1.332  0.000  1.025 77.1  1.677  0.052  6.128  0.102 3
 855.4438  -4.291  0.904 -18707.107  1.409  0.000  1.025 72.8  1.673  0.046  6.034  0.102 3
1029.7932  -7.034  1.526 -18715.058  2.530 -0.404  0.466 39.8  1.816  0.018  6.349  0.103 2
1050.7481   3.703  2.247 -18704.109  3.775  0.769  0.466 26.0  1.919  0.016  6.252  0.104 2
1090.7769  12.079  1.324 -18690.562  2.438  0.000  1.025 38.5  1.790  0.018  6.249  0.102 3
1091.7112  12.841  1.080 -18691.255  2.000  0.000  1.025 48.5  1.777  0.023  6.250  0.102 3
1092.7233  10.537  0.875 -18694.775  1.743  0.000  1.025 55.6  2.020  0.029  6.548  0.102 3
1093.7118   2.184  0.914 -18701.860  1.626  0.000  1.025 61.9  1.819  0.035  6.265  0.102 3
1094.7174  -5.480  1.192 -18710.880  1.851  0.000  1.025 50.6  1.928  0.026  6.353  0.102 3
1096.7402  -4.880  1.538 -18709.660  2.809  0.000  1.025 35.0  1.759  0.016  6.277  0.103 3
1097.7125  -3.481  0.856 -18707.293  1.654  0.082  0.466 59.5  1.734  0.032  6.165  0.102 2
1098.7120  -2.737  0.964 -18708.411  1.748  0.000  1.025 56.5  1.665  0.031  6.094  0.102 3
1099.7075  -0.551  1.150 -18703.119  2.117  0.516  0.466 46.5  1.656  0.022  6.089  0.103 2
1113.5836  -2.870  1.182 -18708.141  1.849  0.496  0.466 54.7  1.664  0.027  6.108  0.102 2
#1114.5069  -999    -999  -18706.594  5.639  0.741  0.466 18.3  1.300  0.017  6.043  0.111 1,4
#1114.6085  -999    -999  -18719.875 10.021  0.000  1.025 11.0  1.200  0.025  6.008  0.121 3,4
1115.5025  -2.979  1.103 -18705.707  2.072  0.100  0.466 48.3  1.566  0.021  5.976  0.104 2
1116.5643  -5.335  0.788 -18710.515  1.385  0.127  0.466 72.4  1.658  0.046  6.040  0.102 2
1117.6055  -4.947  1.307 -18712.244  1.980  0.000  1.025 50.7  1.720  0.025  6.122  0.104 3
1137.7257  -4.772  0.986 -18708.514  1.712 -0.064  0.466 55.4  1.670  0.030  6.016  0.102 2
1139.6486   9.596  0.946 -18694.519  1.552  1.261  0.466 64.0  1.717  0.037  6.111  0.102 2
1142.6156   1.357  0.973 -18704.958  1.591  0.381  0.466 64.5  1.829  0.040  6.385  0.103 2
1143.5760  -5.004  0.856 -18711.518  1.555  0.097  0.466 65.8  1.868  0.040  6.438  0.104 2
1144.5698  -5.182  1.012 -18710.995  1.787  0.121  0.466 57.2  1.852  0.031  6.439  0.103 2
1146.6834  -0.186  1.107 -18705.001  1.703  1.000  0.466 57.3  1.798  0.031  6.271  0.106 2
1147.6914   2.240  1.067 -18697.785  1.679  1.120  0.466 59.0  1.696  0.032  6.070  0.104 2
1148.6048  -0.233  0.742 -18705.134  1.436  0.000  1.025 71.9  1.690  0.047  6.144  0.103 3
1159.5110  -3.910  0.888 -18712.010  1.707  0.623  0.466 61.1  2.026  0.035  6.601  0.104 2
1166.5414   5.272  0.790 -18703.092  1.481  0.000  1.025 67.6  1.680  0.043  6.066  0.102 3
1170.5532   2.897  0.713 -18703.727  1.277  0.155  0.466 79.1  1.858  0.057  6.285  0.102 2
1172.6577   2.984  0.875 -18700.070  1.607 -0.722  0.466 62.0  1.925  0.033  6.338  0.102 2
1173.5440   1.916  0.932 -18700.902  1.772 -0.078  0.466 56.2  1.853  0.028  6.345  0.102 2
1174.4194   3.283  1.422 -18703.970  2.337  0.728  0.466 43.3  1.824  0.020  6.429  0.103 2
1175.5652   1.982  1.304 -18701.155  2.208  1.929  0.466 44.8  1.855  0.020  6.367  0.103 2
1176.5583  -3.793  1.421 -18704.542  2.491  1.046  0.466 40.1  1.908  0.018  6.498  0.105 2
1177.5052  -6.194  1.052 -18713.860  1.678  0.263  0.466 60.8  1.928  0.033  6.457  0.103 2
1178.4935 -11.795  1.723 -18717.584  2.861  0.284  0.466 34.9  1.699  0.015  6.369  0.105 2
1203.4710   8.736  0.738 -18692.305  1.351  0.697  0.466 73.7  1.831  0.047  6.315  0.102 2
1204.4918   8.409  0.867 -18696.524  1.378  0.870  0.466 72.6  2.003  0.047  6.533  0.102 2
1209.5459   4.999  1.338 -18699.244  2.279  1.809  0.466 44.1  1.884  0.020  6.488  0.103 2
1211.6177  -2.961  2.534 -18704.829  3.601  0.000  1.025 27.1  1.811  0.014  6.381  0.111 3
1239.3972  -3.077  0.713 -18703.594  1.404  1.132  0.068 72.7  1.900  0.047  6.316  0.102 1
1240.3978  -5.618  0.773 -18708.907  1.462 -0.214  0.068 69.8  1.839  0.043  6.246  0.104 1
1241.3944  -6.450  0.860 -18707.593  1.893  0.722  0.068 53.2  1.863  0.027  6.266  0.103 1
1242.3944  -5.128  1.116 -18706.990  1.953  0.927  0.068 52.4  1.899  0.027  6.329  0.104 1
1249.4140   0.505  1.290 -18702.351  2.332  1.075  0.068 43.9  1.753  0.022  6.178  0.109 1
1250.4054   0.651  0.885 -18702.769  1.460 -0.053  0.069 69.4  1.821  0.043  6.199  0.103 1
1251.3822   2.025  0.753 -18700.268  1.378  0.289  0.069 73.7  1.802  0.049  6.204  0.103 1
1260.3813  -8.159  1.053 -18712.230  1.284  0.095  0.070 80.8  1.845  0.061  6.360  0.104 1
1261.3670  -8.724  0.695 -18714.146  1.334  0.259  0.069 77.4  1.751  0.055  6.193  0.102 1
1262.3632  -4.863  0.907 -18714.465  1.483 -0.845  0.070 69.5  1.715  0.046  6.110  0.102 1
1263.3642   3.861  0.811 -18702.245  1.355 -1.883  0.070 75.4  1.774  0.053  6.215  0.103 1
1264.3629  10.473  1.169 -18692.545  1.945  0.180  0.070 52.4  1.739  0.027  6.176  0.106 1
1283.3710  -1.263  0.909 -18708.972  1.479  0.113  0.108 69.8  1.768  0.045  6.229  0.104 1
1306.3299   1.699  0.913 -18703.576  1.668  0.462  0.085 62.1  1.862  0.035  6.343  0.106 1
1307.3250   3.006  0.845 -18702.064  1.350  0.226  0.085 76.8  1.783  0.054  6.220  0.108 1
1308.3250   0.551  0.780 -18700.805  1.235  1.783  0.086 84.8  1.782  0.062  6.204  0.107 1
1443.7135   1.047  1.255 -18704.036  2.864  0.000  1.025 34.1  1.623  0.017  6.143  0.103 3
1444.6979   5.268  1.259 -18696.666  2.387  0.000  1.025 41.6  1.638  0.021  6.130  0.103 3
1445.7050  10.455  1.519 -18695.824  2.907  0.000  1.025 34.2  1.653  0.017  6.219  0.103 3
1472.6496  -1.920  1.179 -18706.845  2.259  0.000  1.025 44.4  1.626  0.023  6.020  0.103 3
1474.6541   0.754  1.152 -18700.737  1.866  0.000  1.025 54.1  1.541  0.030  5.902  0.104 3
1475.6334   2.257  1.302 -18705.561  2.287  0.000  1.025 44.0  1.573  0.023  6.031  0.102 3
1491.5313   5.065  0.951 -18697.514  1.662  0.000  1.025 58.4  1.599  0.033  5.988  0.103 3
1492.7096   9.621  0.887 -18694.305  1.550  0.000  1.025 64.0  1.675  0.040  6.134  0.103 3
1501.6133  -6.073  1.170 -18712.781  1.908  0.000  1.025 51.8  1.717  0.027  6.253  0.103 3
1502.7151 -12.367  1.008 -18715.081  1.596  0.000  1.025 62.1  1.738  0.037  6.262  0.105 3
1508.5400   8.009  1.075 -18695.271  1.636 -0.173  0.115 57.2  1.671  0.033  6.063  0.103 1
1509.5383   1.406  1.502 -18698.684  2.465  1.863  0.117 36.1  1.849  0.018  6.265  0.102 1
1510.5188   7.906  1.248 -18694.940  2.142  0.457  0.116 41.3  1.793  0.021  6.106  0.102 1
1513.6474   2.332  1.212 -18703.631  1.943  0.000  1.025 51.5  1.784  0.027  6.292  0.103 3
1523.5068  -4.022  1.253 -18709.428  2.388  0.000  1.025 41.5  1.585  0.020  6.086  0.105 3
1524.5078  -2.606  1.407 -18706.911  2.623  0.000  1.025 37.5  1.654  0.017  6.049  0.104 3
1525.5334  -0.837  1.292 -18705.145  2.143  0.000  1.025 46.2  1.653  0.023  6.145  0.103 3
1526.5191   7.131  1.019 -18695.606  1.924  0.000  1.025 52.3  1.785  0.029  6.285  0.103 3
1537.4831  -3.482  1.150 -18706.644  2.399  0.070  0.067 41.7  1.763  0.021  6.340  0.103 1
1538.5009  -0.371  0.934 -18699.647  1.551  0.179  0.067 62.5  1.727  0.039  6.206  0.102 1
1540.6220   4.347  1.215 -18698.685  2.446 -0.806  0.067 40.2  1.772  0.020  6.188  0.103 1
1549.6026   5.670  1.480 -18697.535  2.367 -0.850  0.066 35.7  1.896  0.018  6.402  0.103 1
1550.6090  -5.436  1.181 -18707.630  1.701  0.668  0.066 51.8  1.785  0.029  6.228  0.103 1
1551.5963 -16.538  1.479 -18721.479  2.590  0.258  0.066 36.9  1.729  0.018  6.333  0.103 1
1552.5768 -16.093  0.915 -18719.165  1.379 -0.125  0.067 72.1  1.674  0.049  6.129  0.103 1
1553.5733 -13.750  1.477 -18714.503  2.365  0.393  0.067 41.7  1.653  0.021  6.159  0.102 1
1594.4763  -1.909  1.036 -18703.278  1.993  0.000  1.025 48.8  1.892  0.026  6.380  0.105 3
1596.4883   7.675  1.179 -18700.045  2.174  0.000  1.025 46.9  1.866  0.025  6.522  0.107 3
1597.4821   7.769  1.415 -18697.408  2.067  0.000  1.025 46.8  1.980  0.024  6.519  0.104 3
1603.4676  -1.844  0.989 -18704.734  1.582  0.000  1.025 59.9  1.551  0.036  5.952  0.102 3
1604.4582  -2.862  1.265 -18703.700  1.993  0.000  1.025 49.4  1.558  0.026  6.100  0.104 3
1606.3684  -0.496  1.151 -18698.794  1.992 -0.065  0.073 49.7  1.670  0.027  6.030  0.105 1
1607.4869   9.152  1.704 -18689.137  2.676 -0.427  0.073 33.2  1.677  0.018  6.117  0.105 1
1608.3691  10.899  0.914 -18687.570  1.427  0.248  0.073 70.7  1.888  0.050  6.444  0.103 1
1609.3773   8.120  1.719 -18693.625  3.262  0.385  0.073 30.8  1.897  0.019  6.392  0.104 1
1610.3713  -0.940  2.180 -18705.357  4.270  0.430  0.073 23.9  1.701  0.018  6.342  0.109 1
1620.4167  -4.784  1.444 -18705.613  2.108  0.000  1.025 47.0  1.487  0.024  5.934  0.104 3
#1621.4386  -999    -999  -18697.552  5.357  0.000  1.025 18.1  1.200  0.019  5.911  0.110 3,4
1625.3929   7.426  0.979 -18694.095  1.442  0.162  0.073 71.1  1.855  0.050  6.405  0.102 1
1626.3960   0.686  1.359 -18702.835  2.026 -0.163  0.074 50.8  1.774  0.027  6.256  0.102 1
1627.3906  -2.227  1.102 -18708.008  1.803 -0.948  0.073 57.3  1.782  0.035  6.383  0.104 1
1628.3937  -1.839  1.098 -18702.884  2.012 -0.223  0.074 50.0  1.717  0.028  6.303  0.111 1
1629.3893   5.080  1.172 -18699.319  1.628  0.150  0.074 63.6  1.778  0.041  6.310  0.106 1
1630.3921  -2.377  1.282 -18711.553  2.206  0.162  0.074 46.7  1.804  0.025  6.405  0.110 1
1632.3916 -12.258  1.120 -18716.701  1.601  0.180  0.074 63.4  1.786  0.041  6.386  0.103 1
1638.3967   2.587  1.081 -18703.416  1.758 -1.298  0.074 57.5  1.529  0.035  6.005  0.102 1
1642.3937   1.767  1.152 -18700.358  1.719 -0.065  0.074 59.7  1.740  0.037  6.326  0.103 1
#
#END#  -ref=VIZ613cc36442099 ================================================================
